Sentence	ID	label	score
"ぼけっとしてたらこんな時間｡チャリあるから食べにでたいのに…"	1	"NEGATIVE"	0.941
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"POSITIVE"	0.948
"早寝するつもりが飲み物がなくなりコンビニへ｡ん､今日、風が涼しいな。"	3	"NEUTRAL"	0.774
"眠い、眠れない。"	4	"NEGATIVE"	0.971
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"NEGATIVE"	0.624
"表情筋が衰えてきてる｡まずいな…"	6	"NEGATIVE"	0.995
"やばい｡おもろいな?思ってみてみた「シャレードがいっぱい」｡よすぎるやん。"	7	"POSITIVE"	0.965
"おなかすいた…夜ご飯仲間募集｡"	8	"NEUTRAL"	0.745
"よく寝た。暴走バスの夢見た。からだいたい。"	9	"NEUTRAL"	0.885
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"POSITIVE"	0.931
"月末ミーティング終了｡いつものことだが自分のミーティング力のなさに凹む。もう走り出すしかない。バッティングセンターいこうぜ!"	11	"POSITIVE"	0.828
"COWCOWヨシ君の顔色が最近ずっと悪い。病気ちゃうん?心配やわ。"	12	"NEGATIVE"	0.991
"シャンプーいきたい…"	13	"NEUTRAL"	0.623
"BIGBANGの人がえみちゃんねるにでてた。今、水泳の立石が…似すぎ｡どちらも、生半可に喋りが達者でちょっとウザイ。でも立石なんかすき。"	14	"POSITIVE"	0.554
"久々に自炊した。最近すごくやせたと評判なので、ごはんがすすむおかずをたんと。二膳半たべた。よしっ!"	15	"POSITIVE"	0.981
"雨…（笑）"	16	"NEUTRAL"	0.945
"外反母趾が悪化。なぜ?ヒール止めてるし幅広い靴しか履いてないのに｡本格的に治療すっかな｡"	17	"NEGATIVE"	0.979
"待ち人は来ないのではないかという疑念がふとよぎる｡涼しくなったなぁ｡"	18	"NEGATIVE"	0.871
"昔夢を語った仲間と数年ぶりの再会!相変わらず､だったけど少し大人になっていた僕ら､だった｡それぞれの道で頑張っててきっと色々あるけど、昔みたいに笑える時間が嬉しかった。昔見た未来まであと4年。がんばろ。"	19	"POSITIVE"	0.983
"みんな幸せになったらいいなって、なんか普通にそう思う。日曜と月曜と火曜会った人たちありがとう。また明日からがんばろう｡オヤスミナサイ"	20	"POSITIVE"	0.984
"回鍋肉を作るつもりで何か違うやつになった｡でもウマい!ウマすぎるぜ回鍋肉じゃないやつ!!"	21	"NEUTRAL"	0.483
"朝はパンケーキとサンドイッチ､昼はお弁当とサンドイッチ､夜は回鍋肉とごはんとパンケーキ｡昨日焼いたチョコｹｰｷがもう残り30度…好きなものを好きなときにたべるんだ!明日も焼こ。"	22	"POSITIVE"	0.983
"天地明察みたいな?おもろいんかな?"	23	"NEUTRAL"	0.919
"不確かな夜風が待ち人連れ去りぬ。???ふと､待ち人は来ないのではないかという疑念に駆られる。微かに絡みつく風に、煮え切らない自分の心を見たようで。…うーむ。いいねぇ｡"	24	"NEGATIVE"	0.830
"投げかけたものは返ってくるので､なるべく良いものを投げていたいと思う｡しかし時には叶わないことがある｡そういったとき、自分は試されていると感じる｡そしてたいていの場合､私はその試練に敗ける｡"	25	"NEGATIVE"	0.942
"肉まん、サーモンロール、茶碗蒸し、納豆、シナモンロール｡暇やからって食べ過ぎた…(●´з｀●)"	26	"NEGATIVE"	0.992
"次の月曜の19時から落語観たい人???"	27	"NEUTRAL"	0.589
"ヤバい!2700のBO0WY!!"	28	"POSITIVE"	0.678
"最強の二人、夢売る二人、愛と誠｡観たい映画、メモ…"	29	"POSITIVE"	0.862
"ごくありきたりで俗っぽくて申し訳ないのですが、ミランダ･カーめっちゃ可愛い!めっちゃ好き!いつまでも見てられる…お子様もまたデカくて可愛いんだ!"	30	"POSITIVE"	0.984
"腰をイワしています｡痛み止め飲んでるからか四六時中眠い。いける日は整骨院でほぐしてもらうけど、今日明日休みやん｡テーピングもかゆくなってはがしたし、明日は文字通り丸腰｡夜までもってくれ､腰!"	31	"NEGATIVE"	0.958
"落語…どしよかな…それか映画いこかな。"	32	"NEUTRAL"	0.662
"結局映画にも落語にも整体にも行けず、せめて夕飯はと思ったのに怠けグセがついて､出前とってしまった｡全力で安静中♪"	33	"NEGATIVE"	0.940
"眠いのに眠れない…"	34	"NEGATIVE"	0.996
"今日のアボカドはあじひとで食べるかな!誰か釣れるかな!"	35	"POSITIVE"	0.947
"自己否定感が強い人は他人も否定する｡批判の多いのは、自分に自信がないと宣伝しているようなものだ｡自己肯定の人は、周りがなにを言っても気にならない｡それはそれと受け止めるのだ｡"	36	"NEUTRAL"	0.791
"今日カラーをしてもらったら鬼太郎ぽくなった｡仕事帰りに会った数名の知人にはいいやん!と言ってもらえて少し安心した｡でもね､ほんまはちょっとちゃうかな?って思ってるねん｡ま、来週まで楽しむか｡"	37	"NEGATIVE"	0.793
"鬼太郎ぽい体型の女子って…"	38	"NEGATIVE"	0.742
"うどんとラーメンハシゴしておなかパンパン!初､丸亀製麺からの彦ェ門!あっさりとんこつで完食!その筋では有名店らしい"	39	"POSITIVE"	0.940
"なすの田楽食べたいな?"	40	"POSITIVE"	0.697
"ご飯食べにいきたい…でも、もう眠いよパトラッシュ…"	41	"NEGATIVE"	0.954
"腰が痛い日々を送っています。色んなことが段々面倒になってきた｡昨日の晩から数えて初めての食事｡エビマヨ!アボカド!サーモン!鶏トマト煮!ふじいちでカロリーを取り戻す!"	42	"NEGATIVE"	0.793
"天王寺ぶらり｡あわよくば映画みてやろ?!程よくおなかも空いてきたし、一人でもいけそーないい感じの店あったら教えて?!"	43	"POSITIVE"	0.984
"こんな時間に鴨つけうどん!ゆずピール入ってて結構おいしい!やるななか卯｡"	44	"POSITIVE"	0.986
"経済ジャーナリスト金子さん(ほんまでっか出演)の訃報にびっくり｡病気みたい｡ご冥福をお祈りいたします｡"	45	"NEGATIVE"	0.919
"何でもないようなことが幸せだったと思う?何でもない夜のこと、腰痛で寝れないよーる?"	46	"NEGATIVE"	0.668
"少し前から毎日のようにつきまとわれている｡姿が見えない日もあって油断してるときっちり現れて､最近では睡眠妨害までしてくる…もういい加減にしてほしい!!!"	47	"NEGATIVE"	0.982
"腰痛の話｡寝てもさめても腰痛い｡痛みよ､去れ!イたとん!!"	48	"NEGATIVE"	0.989
"メルヘンに憧れがち｡現実を生きなければな。てか早く寝たい(>_<)!"	49	"NEGATIVE"	0.874
"今週も終わった!そして今から休みだ!明日は祝日か?何しよどこいこ!"	50	"POSITIVE"	0.956
"寒いなぁ?鍋いこかな?"	51	"NEUTRAL"	0.903
"おなかすいた…orz"	52	"NEGATIVE"	0.988
"高校生みてると、笑顔可愛いな?とかなんかニヤけてしまう｡失われた青春を取り戻すようにかぶりつく私｡祝日の風景。"	53	"POSITIVE"	0.636
"ハンバーグ食べたい!同志求ム!"	54	"POSITIVE"	0.939
"本が好きだ｡いや､立ち読み､流し読み､本に囲まれているのが好きだ｡standardbookstoreが近所にあったら､住むかもしれない｡"	55	"POSITIVE"	0.978
"ノーベル賞山中さんに興味津々｡朝からいろんな番組を見ているけど、まず目につくのはユーモアたっぷりでにこやかに話す奥さん｡会見ではまじめな印象が強かったけど、きっとご本人もユーモア溢れる方なのだろう。二人がどんな風に愛を育んできたのかが気になる。"	56	"POSITIVE"	0.918
"恥ずかしくない仕事をしよう。心からそう思います。"	57	"POSITIVE"	0.906
"西田辺は雷雨!!"	58	"NEUTRAL"	0.738
"調子よくしゃべった翌日はたいてい凹む。そろそろキャラ統一すべきかなぁ。"	59	"NEGATIVE"	0.927
"この性格の悪さを何とかしたい…"	60	"NEGATIVE"	0.966
"ほぼ毎日、パックのジュースをコンビニで買います。今日、袋の中にはジュースと割り箸が入ってました。眠かったんかな。"	61	"NEUTRAL"	0.942
"お客さんが切れない。ありがたいけどお腹すいた…ラスト一人がんばる!!"	62	"POSITIVE"	0.960
"世の迷える女子に告ぐ。ニーハイの威力は、想像以上だ。"	63	"POSITIVE"	0.843
"結局、わがままなんだな。己の幼さが歯がゆい。"	64	"NEGATIVE"	0.992
"観たい映画。新しい靴を買わなくちゃ、終の信託。メモ…"	65	"NEUTRAL"	0.728
"食材はその日食べる分しか買わないので、休日は出かけるまでほとんど食べられないことになる。でもこの胃と腸がが空になってく感じが好きだったりする。体が少し浄化されたような？アブナイ人ではないですよ。多分"	66	"NEUTRAL"	0.630
"同年代の女子が何を考え、どのように暮らしているか気になる。同い年と聞けばなおさら。最近気になる人。峰なゆかという女（ひと）…"	67	"NEUTRAL"	0.866
"たまたまイラストを目にすることが何度かあり、面白いな～と思っていたら最近インタビュー記事を読み、別口で気になってた著作の作者でありイラストの主だと発覚しびっくり。同い年と知りまた興味津々。とそこへきて知人の、Rtで峰さんのアカウントを知る。これは運命なのだと勝手に思っています。"	68	"POSITIVE"	0.763
"田中里奈、たなかりな、ティーナカリーナ…"	69	"NEUTRAL"	0.918
"キョンキョンのアレ見逃すとこだった！あっぶね！ワンセグよありがとう！"	70	"POSITIVE"	0.972
"さ、さむい…"	71	"NEGATIVE"	0.992
"今日は頑張った…ただいま我が家。散らかってるのももはや愛おしい。…でも片づけよ。"	72	"POSITIVE"	0.977
"何気なく入ったDVDコーナーで流れていたONE PIECEに目を奪われる。これちょうどあかんとこやん！医者を！医者を教えでぐたざいﾞ!!"	73	"NEUTRAL"	0.389
"何だかサイコパスって言葉を最近よく目にする。流行ってるのかね？｢悪の教典 ｣面白そう。"	74	"POSITIVE"	0.588
"やな季節が来たなぁ…"	75	"NEGATIVE"	0.779
"雨ニモ負ケズ みたいな人になりたいなぁ。"	76	"POSITIVE"	0.865
"憤る。憤る28さい。出家でもしなければこんな感情からは解放されないと思う。"	77	"NEGATIVE"	0.978
"旅に出たい…"	78	"NEUTRAL"	0.559
"今朝起きていきなり柿をガブリとやって、切れた口の端が痛い。ついでに唇全体的に腫れてる。カブレたか…柿が好きすぎる。"	79	"POSITIVE"	0.512
"職場でお寿司連れてってもらってお腹パンパン！デザートまで出してもらって大満足。苦しくなるほど食べられるなんて幸せじゃないか。"	80	"POSITIVE"	0.987
"住む家がある、職がある、ちゃんと靴を履いて、毎日食べられる。離れていても家族や友達がいる。なんだ、必要なものは十分にあるじゃないか。"	81	"POSITIVE"	0.958
"世の迷える男子に告ぐ。寝不足かつ空腹の女子に近づくとロクなことがないぞ！てことでたらふく食べたしふやけたし寝ます。おやすみなさい。"	82	"NEUTRAL"	0.596
"ホームパーティー楽しすぎてお泊まりした帰り道。祭りのあとはいつも寂しい"	83	"NEGATIVE"	0.982
"天気いいなーって歩いてたらスニーカーやさんからバービーボーイズ。シュール。"	84	"NEUTRAL"	0.741
"噂の壇蜜さんのブログが何となく面白い。"	85	"POSITIVE"	0.990
"めっちゃ丁度いい光が部屋の窓から差し込む。こうして絵でも描いて暮らしたい。"	86	"POSITIVE"	0.983
"今最も胸をはだけさせられベッドやソファに寝転がらされる男、生田斗真。すごいよ生田斗真。てれび戦士だったのに…"	87	"NEUTRAL"	0.500
"精神年齢が日に日に下がる気がする28さい。体年齢は日に日に上がる28さい。寝よ…"	88	"NEGATIVE"	0.867
"2012年下半期は様々なお一人様に挑戦しています。串カツは楽勝!!おやすみなさい"	89	"POSITIVE"	0.987
"悲しくても辛くても、日々を生きなきゃいけなくて、そうしてうやむやにしながら生きていくんだなぁ。"	90	"NEGATIVE"	0.631
"休み前の晩にパジャマにメガネでてんこ盛りのご飯やいろんなおやつを食べながらテレビ見たりネットしたり、そうして時間に関わらず眠くなったらそのまま寝るのが最高に幸せ"	91	"POSITIVE"	0.991
"こうやってデブになっていくのかなぁ。"	92	"NEGATIVE"	0.908
"普段から地味なのだが、休日の私はほんとに地味である。更に今日は輪をかけて、もう誰かを不快にしてしまうんじゃないかって程の地味さ。知り合いに会ったら怪しまれはしても気付かれないだろうな。"	93	"NEGATIVE"	0.934
"友達がハワイで挙式して、森で撮った写真がすごく素敵で羨ましかった。長い髪はゆる巻きダウンにして、お花の冠とベールをつけてるかんじ。木漏れ日を見上げる姿が可愛かったなぁ。"	94	"POSITIVE"	0.992
"今日また、ふらりと入れる店が増えた。お酒もご飯も美味しかったし、何より、何となく温かい店だった。"	95	"POSITIVE"	0.972
"昨日は誰にも会うまいと思ってたのに、帰り道にうっかり馴染みの店に行ってしまった。顔見知りがそばで飲んでいたが、案の定私には気づいていなかった。気配を消すのが得意になったもんだ"	96	"POSITIVE"	0.818
"ハモネプ好き。"	97	"POSITIVE"	0.949
"To be continuedの人、最近キモい人の役多いな…"	98	"NEGATIVE"	0.899
"アットホームダッドやってる！めっちゃ見たいけど寝る。連休なんて…"	99	"NEUTRAL"	0.823
"寒いってことに支配されて建設的な思考が奪われるから、冬は嫌い。"	100	"NEGATIVE"	0.978
"100をゼロにするのは無理ですが、 20くらいにはできます。50くらいのものなら、もうそれはゼロと同じです。"	101	"NEUTRAL"	0.843
"なにいってんだか…"	102	"NEGATIVE"	0.940
"まさかのアッコとコラボ!でもカッコいいぜアッコ!!"	103	"POSITIVE"	0.991
"ドラムのひとちゃんと正装してる！と思ったらやっぱり短パン!!笑"	104	"POSITIVE"	0.558
"水樹奈々っていくつなんやろ？AKBに混ざってもわからなそうな衣装にヘアメイク。"	105	"NEUTRAL"	0.880
"似すぎ…笑"	106	"NEUTRAL"	0.502
"はたと気づけば、生まれてこのかた新幹線に乗ったのは多分一度だけ。新幹線の駅めずらしー！新大阪駅探検、なう。"	107	"POSITIVE"	0.888
"｢悪の教典｣観てきた。体温と心拍の異常いまだやまず…握りしめすぎて手がしびれてる。"	108	"NEGATIVE"	0.944
"好きな少年漫画をきかれて、「定番ですけどONE PIECEですかねぇ」と無難に答えてしまう私は臆病者です。趣味が片寄りすぎて公言できないんだ！"	109	"NEGATIVE"	0.805
"とにかく暖まらないと話にならないので、ご飯作ります！久しぶり！"	110	"POSITIVE"	0.985
"の、前に、柿をガブガブ食べてやった！"	111	"POSITIVE"	0.956
"久しぶり酔っておっきい声出したので喉いたい!!のど飴を下さい！水割りをください！もう寝ます…オヤスミナサイ…"	112	"NEGATIVE"	0.988
"あぁあ～小朝師匠！自慢の金髪が！金髪がぁ…！"	113	"POSITIVE"	0.880
"ホットカーペットに寝っ転がってうとうとするのサイコー。"	114	"NEUTRAL"	0.890
"ん？ONE PIECEの歌がなんかヘン。"	115	"NEUTRAL"	0.587
"久しぶりにヤツが来た。ちきしょう、油断してた…コルセット生活、再開!!(T_T)"	116	"POSITIVE"	0.471
"ぼくらの思春期を支えたHEY!HEY!HEY!が最終回だよ！懐かしいな～"	117	"POSITIVE"	0.530
"あと30秒で、HEY!HEY!HEY!が、終わる！"	118	"NEUTRAL"	0.425
"終わった…音楽は終わらない、その通りだ！君がッ！泣くまで！音楽を愛すのを、辞めない…！"	119	"POSITIVE"	0.885
"はんばーぐたべたい。"	120	"POSITIVE"	0.581
"今日初めてアスリートみたいに腰に注射したんだけど、なかなか痛くて打つまえより痛くなったんだけど大丈夫なんだろーか"	121	"NEGATIVE"	0.909
"28歳にして初めて、ガードルなるものを穿きました。すごいなこれ！なんで今まで穿かなかったんだろ。もう、毎日穿きたい。"	122	"POSITIVE"	0.958
"すき焼き食べたい。祝日やし、どこも混んでるんだろうか…"	123	"NEGATIVE"	0.538
"焼き肉いきたい。"	124	"POSITIVE"	0.819
"オムライスでもいいなぁ～♪"	125	"POSITIVE"	0.973
"美容室でも行くかな。"	126	"POSITIVE"	0.811
"後藤の泳げたい焼きくん…ジャズってかブルースぽいような…"	127	"NEUTRAL"	0.679
"忙しくて体痛いし眠いしゲームする余裕がない"	128	"NEGATIVE"	0.995
"カレーパン食べてりんごガブガブかじる午前二時。あと二日頑張る。オヤスミナサイ…"	129	"NEUTRAL"	0.564
"仕事納め!がんばろ！"	130	"POSITIVE"	0.988
"よっしゃ～終わった！お腹すいた～！"	131	"POSITIVE"	0.699
"帰省の車内で可愛コちゃんに声をかけられた。｢お隣いいですかぁ(^▽^)？｣かっ可愛い！是非座ってほしかったけれど、先客がいたので断念。うぅ、無念…。 あ、明けましておめでとうございます☆こんな感じで本年もぬるっと行きますのでよろしくお願い致します。"	132	"POSITIVE"	0.598
"りあるキッズのメガネ久々に見た！前々からきづいてはいたけど、ますますあかん感じに…"	133	"NEGATIVE"	0.925
"実家の母は、普段話し相手がいないのか、たまに帰るとむちゃくちゃ喋ってくる。今回、風邪気味で無口だったので、静かな正月となった。二泊三日の最終日、私を送り出す駅のホームで急に喋りだした。え、今？ どうやら風邪は治ったようです。"	134	"POSITIVE"	0.923
"凧上げのたこが電線に巻き付いて電車とまる。正月っぽいね～"	135	"NEUTRAL"	0.690
"何かもうキャラが迷走しすぎてきたので、まずはめちゃくちゃ普通の人、やります。頑張って美容師ぶるの、休憩。まぁ元々ぽくないけど…"	136	"NEUTRAL"	0.873
"ぐさりと刺さっても、笑ってスルーするー。でもやっぱり気にして髪形変えたりする。"	137	"NEUTRAL"	0.780
"休み明けに「雰囲気変わったな!」てなるの好き。明日からまた頑張ります!!オヤスミナサイ"	138	"POSITIVE"	0.992
"知り合い見つけて道の反対側から 叫んだら思いの外響いた。私もこんなデカイ声が出るのか… てか、は、はずい。"	139	"NEGATIVE"	0.936
"今年初稽古。一時間前からいく気満々だったのに、五分前からめっちゃめんどくなってきた。"	140	"NEGATIVE"	0.992
"動物も子供も普通に好きですが、わぁー！って寄っていくのには抵抗があるのです。外から見ててうらやましくて一人でドッグカフェ入ったことあるけど、まっったく盛り上がらんかった。当たり前か…"	141	"NEGATIVE"	0.976
"20代まで平均睡眠時間が四時間以下で過ごすと早死にするらしいので、もう寝ます。オヤスミナサイ"	142	"NEUTRAL"	0.498
"今日か明日、えべっさん行きたいな～"	143	"POSITIVE"	0.920
"無印の焦がしキャラメルってお菓子がおいしすぎる。"	144	"POSITIVE"	0.972
"えべっさん行きたい行きたい！いやほんまはそうでもないんやけど、せっかくやし…"	145	"POSITIVE"	0.931
"コクリコ坂みて、失ったものが多いことに気づくわんわんの日。てか、金田一始まるんや！つよし君ver.見返したくなってきた！"	146	"POSITIVE"	0.891
"うまいやん！spa王のフェットチーネうまいやん！泣けるやん！"	147	"POSITIVE"	0.984
"いやはや恥かいた～。桃鉄も、スパ王も、なんにも知らんな私は。今日わかったことは、腰がいたくないと楽しいってことかな！オヤスミナサイ…"	148	"POSITIVE"	0.646
"へー中山功太改名したんやぁ～ ってうわ！うわうわ！人相変わりすぎやろ！髪形…と、顔…"	149	"NEGATIVE"	0.801
"すんごい雨…新成人の皆さんおめでとうございます。そして御苦労様…てか福くん可愛いな～@いいとも"	150	"POSITIVE"	0.988
"掃除してやるぜ！"	151	"POSITIVE"	0.874
"うし！でかける！その勢いでご飯食べる！夜ごはん仲間募集～！"	152	"POSITIVE"	0.981
"ミナミで焼き肉か…帰ってから考えるか…"	153	"NEUTRAL"	0.881
"ひょう！激しいひょう！"	154	"NEGATIVE"	0.605
"不本意なことってほんまにあるなぁ。原因は自分にあるんだから日々まっとうに生きるしかないね。頑張ります。"	155	"NEGATIVE"	0.821
"誰かからの言葉をまっすぐ聞ける素直さと謙虚さ。あとは、それでも自分はこうなんだと言える強さが必要。"	156	"POSITIVE"	0.780
"マッサージいけばよかった…orz"	157	"NEGATIVE"	0.832
"眠くて死にそう。でも今日は長居にいくんだ！牡蠣をたべるんだ！そして歌うんだ！皆様のご参加を、一時間後、お待ちしております。"	158	"POSITIVE"	0.974
"んっ！？何かおもろそうなテレビ始まった！ドラマ？"	159	"NEUTRAL"	0.872
" はっ！こんな時間。でも慌てて眠らなくていいんだ！コロッケ食べてやる！"	160	"POSITIVE"	0.962
"友達がいないと思われたくないからトイレでご飯を食べ、人を雇ってクラブに行く。そうやって一般的な人を装うことで、誰かに声をかけてもらえるチャンスを潰さないようにしてるのかな…と、思い直した。"	161	"NEGATIVE"	0.688
"やばい、また自堕落な休みを満喫してしまいそうだ。今日は役所にいくんだ！がんばれ！大人への新しい一歩だ！"	162	"POSITIVE"	0.932
"結構ギリギリで役所につき、急いでね～、とフロアを右往左往させられ、5分前に終業のチャイムが鳴った。物凄い勢いで人の波が通りすぎていく。すげぇ"	163	"NEGATIVE"	0.810
"西島秀俊、未婚やった。どうしよう、一刻も早くエステにいかねば！！"	164	"POSITIVE"	0.966
"【お詫び】お聞き苦しい発言があったことを、お詫びいたします。"	165	"NEGATIVE"	0.963
"今週から観たい映画がめじろ押し。ted、ライフオブパイ、つやのよる、ストロベリーナイト… 話題のレ・ミゼラブルも観たいし、２月公開のもいくつか気になるし…休みが足りないな。"	166	"NEUTRAL"	0.591
"西島秀俊、でググったら出てくるタレント名鑑の写真が素敵すぎて、Majiで奇行に走る5秒前。"	167	"POSITIVE"	0.972
"みんな！最高の離婚が始まったぞ！"	168	"POSITIVE"	0.988
"久々に自炊した。以前はワンプレートで済ませていたけど、品数を多く食べたいので明日も3食賄えるくらい色々作った。が、ほとんど平らげてしまった… あったらあるだけ食べちゃうんだよね…"	169	"NEUTRAL"	0.541
"ほんとにお腹パンパン…"	170	"NEGATIVE"	0.936
"でもおしるこ食べる…"	171	"NEUTRAL"	0.917
"毎日毎日飽きもせず、己の未熟さにへこむ。でも当たり前じゃないか！人生まだ半分も来てないんだから！ そう思ってがんばります。100まで生きてやる!!"	172	"POSITIVE"	0.972
"みんな！目覚ましテレビを見るんだ！朝からいいものみた?"	173	"POSITIVE"	0.919
"朝からかっこいー！いや、可愛いぜ菊田～！"	174	"POSITIVE"	0.994
"胃腸かぜって、辛いですよ。ぜひともお気をつけください。"	175	"NEGATIVE"	0.992
